Sl. No.,Player,Age,Team,From,Matches Played,Runs,Average,Strike Rate,Wickets,Balls Bowled,Runs Conceded,Economy,Catches Taken,Role
1,Rohit Sharma,31,MI,IND,173,4493,31.86,131.02,15,332,440,7.95,79,BAT
2,Shane Watson,37,CSK,AUS,117,3177,32.41,141.2,92,2029,2682,7.93,32,BAT
3,Virat Kohli,30,RCB,IND,163,4948,38.35,130.76,4,251,368,8.79,69,BAT
4,AB de Villiers,34,RCB,SA,141,3953,39.53,150.93,,,,,87,BAT
5,Suresh Raina,32,CSK,IND,176,4985,34.37,138.47,25,902,1112,7.39,94,BAT
6,MS Dhoni,37,CSK,IND,175,4016,40.16,138.19,,,,,87,WK
7,Andre Russel,30,KKR,WI,50,890,26.96,177.29,44,858,1251,8.74,17,AR
8,Hardik Pandya,25,MI,IND,50,666,23.78,138.75,28,614,923,9.01,32,AR
9,Sunil Narine,30,KKR,WI,98,628,17.44,168.81,112,2292,2498,6.53,17,BOWL
10,Bhuvneshwar Kumar,28,SRH,IND,102,171,8.14,98.84,120,2258,2693,7.15,23,BOWL
11,Jasprit Bumrah,25,MI,IND,61,35,11.66,94.59,63,1368,1777,7.79,7,BOWL
