Player,RohitSharma,ShaneWatson,ViratKohli,ABdeVilliers,SureshRaina,MSDhoni
2008,147.98,151.76,105.09,96.93,142.22,133.54
2009,114.92,0,112.32,130.98,140.9,127.2
2010,133.77,162.28,144.81,93.27,142.85,136.66
2011,125.25,130.43,121.08,128.39,134.76,158.7
2012,126.6,151.78,111.65,161.11,135.6,128.77
2013,131.54,142.89,138.73,164.38,150.13,162.89
2014,129.14,122.44,122.1,158.63,146.08,148.4
2015,144.74,135.01,130.82,175.08,123.02,121.96
2016,132.88,133.58,152.03,168.79,127.88,135.23
2017,121.97,91.02,122.22,132.51,143.97,116
2018,133.02,154.59,139.1,174.54,132.44,150.66
